"V1";"V2";"V3";"V4";"V5"
"8";108;1;12;11;-300
"9";109;83;86;3;-300
"10";110;45;73;28;-300
"1";101;9;10;1;-300
"2";102;17;34;17;-300
"3";103;93;120;27;-300
"4";104;56;60;4;-300
"5";105;35;49;14;-300
"6";106;1;8;7;-300
"7";107;67;92;25;-300
"8";108;61;66;5;-300
"9";109;50;55;5;-300
"10";110;11;16;5;-300
"1";101;10;59;49;-300
"2";102;68;69;1;-300
"3";103;5;9;4;-300
"4";104;82;94;12;-300
"5";105;60;67;7;-300
"6";106;70;81;11;-300
"7";107;1;4;3;-300
"8";108;107;111;4;-300
"9";109;95;106;11;-300
"10";110;112;120;8;-300
"1";101;50;62;12;-300
"2";102;98;102;4;-300
"3";103;34;39;5;-300
"4";104;40;49;9;-300
"5";105;63;80;17;-300
"6";106;81;82;1;-300
"7";107;92;97;5;-300
"8";108;1;33;32;-300
"9";109;83;91;8;-300
"10";110;103;120;17;-300
"1";101;51;56;5;-300
"2";102;87;97;10;-300
"3";103;39;46;7;-300
"4";104;6;38;32;-300
"5";105;1;5;4;-300
"6";106;64;84;20;-300
"7";107;57;63;6;-300
"8";108;85;86;1;-300
"9";109;98;120;22;-300
"10";110;47;50;3;-300
"1";101;40;43;3;-300
"2";102;95;106;11;-300
"3";103;12;25;13;-300
"4";104;44;60;16;-300
"5";105;107;120;13;-300
"6";106;26;28;2;-300
"7";107;32;39;7;-300
"8";108;1;11;10;-300
"9";109;61;94;33;-300
"10";110;29;31;2;-300
"1";101;1;16;15;-300
"2";102;41;53;12;-300
"3";103;17;26;9;-300
"4";104;27;33;6;-300
"5";105;100;104;4;-300
"6";106;68;99;31;-300
"7";107;105;120;15;-300
"8";108;57;67;10;-300
"9";109;54;56;2;-300
"10";110;34;40;6;-300
"1";101;77;84;7;-300
"2";102;40;42;2;-300
"3";103;15;22;7;-300
"4";104;85;113;28;-300
"5";105;43;76;33;-300
"6";106;1;8;7;-300
"7";107;23;39;16;-300
"8";108;118;120;2;-300
"9";109;114;117;3;-300
"10";110;9;14;5;-300
"1";101;1;6;5;-300
"2";102;62;70;8;-300
"3";103;71;83;12;-300
"4";104;35;51;16;-300
"5";105;7;21;14;-300
"6";106;84;120;36;-300
"7";107;57;61;4;-300
"8";108;22;28;6;-300
"9";109;52;56;4;-300
"10";110;29;34;5;-300
"1";101;33;60;27;-300
"2";102;12;32;20;-300
"3";103;95;96;1;-300
"4";104;7;11;4;-300
"5";105;92;94;2;-300
"6";106;88;91;3;-300
"7";107;97;120;23;-300
"8";108;1;6;5;-300
"9";109;61;71;10;-300
"10";110;72;87;15;-300
"1";101;78;94;16;-300
"2";102;66;77;11;-300
"3";103;12;20;8;-300
"4";104;105;120;15;-300
"5";105;6;11;5;-300
"6";106;1;5;4;-300
"7";107;95;104;9;-300
"8";108;50;65;15;-300
"9";109;39;49;10;-300
"10";110;21;38;17;-300
"1";101;106;109;3;-300
"2";102;48;56;8;-300
"3";103;1;4;3;-300
"4";104;15;16;1;-300
"5";105;110;120;10;-300
"6";106;5;14;9;-300
"7";107;92;105;13;-300
"8";108;90;91;1;-300
"9";109;17;47;30;-300
"10";110;57;89;32;-300
"1";101;63;78;15;-300
"2";102;79;120;41;-300
"3";103;25;32;7;-300
"4";104;40;62;22;-300
"5";105;1;10;9;-300
"6";106;23;24;1;-300
"7";107;33;37;4;-300
"8";108;13;22;9;-300
"9";109;38;39;1;-300
"10";110;11;12;1;-300
"1";101;62;89;27;-300
"2";102;58;61;3;-300
"3";103;1;5;4;-300
"4";104;56;57;1;-300
"5";105;53;55;2;-300
"6";106;6;48;42;-300
"7";107;90;92;2;-300
"8";108;107;120;13;-300
"9";109;93;106;13;-300
"10";110;49;52;3;-300
"1";101;109;112;3;-300
"2";102;55;61;6;-300
"3";103;87;92;5;-300
