"x"
"1";101
"2";5
"3";30
"4";51
"5";66
"6";101
"7";102
"8";6
"9";9
"10";19
"11";21
"12";27
"13";29
"14";31
"15";32
"16";46
"17";47
"18";63
"19";68
"20";81
"21";85
"22";95
"23";99
"24";102
"25";103
"26";8
"27";18
"28";22
"29";26
"30";38
"31";44
"32";49
"33";62
"34";70
"35";79
"36";80
"37";87
"38";93
"39";103
"40";104
"41";7
"42";16
"43";24
"44";43
"45";45
"46";53
"47";54
"48";75
"49";77
"50";90
"51";92
"52";104
"53";105
"54";12
"55";41
"56";48
"57";56
"58";64
"59";67
"60";69
"61";100
"62";105
"63";106
"64";13
"65";25
"66";34
"67";37
"68";39
"69";55
"70";59
"71";71
"72";73
"73";88
"74";96
"75";97
"76";106
"77";107
"78";3
"79";14
"80";23
"81";33
"82";52
"83";58
"84";60
"85";65
"86";72
"87";84
"88";89
"89";94
"90";98
"91";107
"92";108
"93";1
"94";10
"95";11
"96";15
"97";28
"98";40
"99";42
"100";61
"101";74
"102";78
"103";82
"104";86
"105";108
"106";109
"107";17
"108";57
"109";76
"110";91
"111";109
"112";110
"113";2
"114";4
"115";20
"116";35
"117";36
"118";50
"119";83
"120";110
"121";3439.2
"1";101
"2";8
"3";17
"4";25
"5";30
"6";46
"7";61
"8";71
"9";96
"10";101
"11";102
"12";1
"13";18
"14";37
"15";52
"16";58
"17";74
"18";81
"19";95
"20";102
"21";103
"22";27
"23";32
"24";44
"25";45
"26";50
"27";63
"28";69
"29";93
"30";99
"31";103
"32";104
"33";5
"34";14
"35";15
"36";22
"37";56
"38";60
"39";76
"40";84
"41";88
"42";89
"43";104
"44";105
"45";11
"46";19
"47";21
"48";23
"49";35
"50";36
"51";40
"52";54
"53";59
"54";67
"55";83
"56";105
"57";106
"58";2
"59";7
"60";24
"61";33
"62";48
"63";55
"64";70
"65";77
"66";85
"67";97
"68";98
"69";106
"70";107
"71";10
"72";12
"73";16
"74";31
"75";38
"76";39
"77";41
"78";42
"79";62
"80";72
"81";75
"82";86
"83";91
"84";92
"85";107
"86";108
"87";6
"88";26
"89";49
"90";51
"91";57
"92";68
"93";73
"94";78
"95";87
"96";90
"97";100
"98";108
"99";109
"100";3
"101";20
"102";29
"103";53
"104";65
"105";66
"106";79
"107";80
"108";82
"109";94
"110";109
"111";110
